,city,province,country,confirm,heal,dead,suspect,update_time
0,武汉,湖北,中国,46201,8171,1856,0,2020-02-23 15:38:50
1,孝感,湖北,中国,3443,1078,102,0,2020-02-23 15:38:50
2,黄冈,湖北,中国,2904,1540,98,0,2020-02-23 15:38:50
3,荆州,湖北,中国,1574,681,41,0,2020-02-23 15:38:50
4,鄂州,湖北,中国,1379,417,40,0,2020-02-23 15:38:50
5,随州,湖北,中国,1300,498,30,0,2020-02-23 15:38:50
6,襄阳,湖北,中国,1173,463,28,0,2020-02-23 15:38:50
7,黄石,湖北,中国,1001,442,29,0,2020-02-23 15:38:50
8,荆门,湖北,中国,918,361,37,0,2020-02-23 15:38:50
9,宜昌,湖北,中国,917,289,29,0,2020-02-23 15:38:50
10,咸宁,湖北,中国,836,398,11,0,2020-02-23 15:38:50
11,十堰,湖北,中国,667,267,2,0,2020-02-23 15:38:50
12,仙桃,湖北,中国,571,248,19,0,2020-02-23 15:38:50
13,天门,湖北,中国,494,232,13,0,2020-02-23 15:38:50
14,监狱系统,湖北,中国,253,3,0,0,2020-02-23 15:38:50
15,恩施州,湖北,中国,251,123,3,0,2020-02-23 15:38:50
16,潜江,湖北,中国,191,78,8,0,2020-02-23 15:38:50
17,神农架,湖北,中国,11,10,0,0,2020-02-23 15:38:50
18,深圳,广东,中国,417,226,3,0,2020-02-23 15:38:50
19,广州,广东,中国,345,197,0,0,2020-02-23 15:38:50
20,珠海,广东,中国,98,52,1,0,2020-02-23 15:38:50
21,东莞,广东,中国,94,31,1,0,2020-02-23 15:38:50
22,佛山,广东,中国,84,34,0,0,2020-02-23 15:38:50
23,中山,广东,中国,66,49,0,0,2020-02-23 15:38:50
24,惠州,广东,中国,62,46,0,0,2020-02-23 15:38:50
25,汕头,广东,中国,25,21,0,0,2020-02-23 15:38:50
26,江门,广东,中国,23,9,0,0,2020-02-23 15:38:50
27,湛江,广东,中国,22,12,0,0,2020-02-23 15:38:50
28,肇庆,广东,中国,19,10,1,0,2020-02-23 15:38:50
29,梅州,广东,中国,16,11,0,0,2020-02-23 15:38:50
30,茂名,广东,中国,14,6,0,0,2020-02-23 15:38:50
31,阳江,广东,中国,13,10,0,0,2020-02-23 15:38:50
32,清远,广东,中国,12,10,0,0,2020-02-23 15:38:50
33,韶关,广东,中国,10,6,0,0,2020-02-23 15:38:50
34,揭阳,广东,中国,8,4,0,0,2020-02-23 15:38:50
35,汕尾,广东,中国,5,2,0,0,2020-02-23 15:38:50
36,潮州,广东,中国,5,3,0,0,2020-02-23 15:38:50
37,河源,广东,中国,4,1,0,0,2020-02-23 15:38:50
38,地区待确认,广东,中国,0,0,0,0,2020-02-23 15:38:50
39,信阳,河南,中国,274,28,3,0,2020-02-23 15:38:50
40,郑州,河南,中国,157,36,1,0,2020-02-23 15:38:50
41,南阳,河南,中国,155,28,2,0,2020-02-23 15:38:50
42,驻马店,河南,中国,139,25,0,0,2020-02-23 15:38:50
43,商丘,河南,中国,91,9,1,0,2020-02-23 15:38:50
44,周口,河南,中国,76,16,0,0,2020-02-23 15:38:50
